  GIMNAZJUM          MARYNARZ         FALBANKA         EDUKACJA
      Zodiak                 Zupka               Lekcja           Zakochany
        Łuk                  Mikser             Ojczyzna             Serce
     Wyborowy             Kasza Manna            Język              Kartka


    mepezczsO                tlokeD              anrazC              eicyW
       akłiP                  ytraK           rettoP yrraH             ćiB
     metołM                   lferT              ybżórW             każartS
      ćapaŁ                    reiK               yrazC            W anizdoG
     ćawoleC                    kiP            jeizdorazC            ezroM

      ĆACUZR                 ORAK                AIGAM         AWOMRALA ANERYS


      OBIEKT                GRAFIT               MLEKO             SZKOŁA

     Zabytkowy              Rysunek              Krowa            Podstawowa
       Grafika                Kolor              Kakao               Uczeń
     Przedmiot              Ołówek                Biały             Dziennik
     Budowlany               Cyrkiel              Kawa             Gimnazjum
    Obserwować               Węgiel              Łaciate           Nauczyciel


      picwoD              ezceiwoinderŚ      nosnhoJ leahciM        akcokzS
      otsaiM               acreiwonnI            noidatS             tyzseZ
        traŻ                owtsrecyR           cśokbyzS           eineizęiW
       ławaK                 kytereH              geiB                rózW
     atodgenA           ewożyzrK ywarpyW       wórteM 001             onkO

    KCOHCĄW                ATAJCURK             TNIRPS              ATARK


      ZJAWA               OCZYWISTY             JEANSY           BIUSTONOSZ

      Postać                Wiadome              Rurki               Piersi
       Duch                 Klarowny             Levis              Kobieta
       Mara                Wątpliwość           Sztruksy            Push Up
     Widziadło                Jasny              Denim              Bielizna
      Upiór                Ewidentny            Dzwony               Stanik


      eizdęłoŻ               awołG              ezcąnP              ołoK
      owezrD                 młeH                 amiZ            dóhcomaS
        ńeiseJ              anorhcO              onorG            muinimulA
         ńoK                awoduB               anniW             gninuT
       ikizduL           owtsńezceipzeB         okceizD             otuA

     NATZSAK                  KSAK             LŚOROTAL           IGLEFULA


   FIRMAMENT              12 GROSZY            ALIBABA          ASTYGMATYZM

       Niebo                Piosenka              Bajka              Wada
Sklepienie Niebieskie          Knż               Tysiąc              O. Pio
    Gwiazdozbór               Złoty              Sezam               Oczy
        Sfera               Pieniądz              Arab              Okulary
       Święci                 Kazik          40 Rozbójników         Wzrok


      akpurokS              kroY weN             owezrD              etrapO
       hcezrO                 ćageiB           rehtorB giB        enzcytnetuA
     akzyrgezrP           akyteltaokkeL           ćakuP           ainezradyW
        ydoL                 sedipiliF             katP           icśomodaiW
       ynoleiZ          eissalesrbeG eliaH       zrakeL                nvT

     AJCATSIP             NOLHTARAM            ŁOICĘIZD             YTKAF
MASZYNKA DO GOLENIA       COMA          BRYDŻ TOWARZYSKI           LESBOS

      Zarost             Śpiączka              Karty                Homo
      Ostrza              Zespół              Partner              Wyspa
      Pianka           Piotr Rogucki         Przypadek             Grecja
     Brzytwa            Hipertrofia           4 Osoby           Morze Egejskie
     Gillette            Przecinek           Sportowy                Gej


       merK           ceiwojarkocbO           ywotsoT                geinŚ
        anaR           ceimeizozduC            intyŻ              aniwożłaM
      okzcelM             ćęhceiN             ywozaR               enaiswO
     einezrapO           ćśogorW            ennezsP .pN              taiwK
      maslaB               ycbO              owyzceiP            enaizdyrukuK

      ĆŚAM            AIBOFONESK               BELHC                IKTAŁP


      LUNCH           CZAROWNICA            MAGNOLIE                 KLER

    Popołudnie             Stos               Zapach              Duchowni
       Biuro              Miotła               Kwiat               Kościół
       Obiad              Salem               Drzewo               Kapłani
      Posiłek            Sabrina              Stalowe               Papież
     Jedzenie            Wiedźma               Krzew            Społeczeństwo


       ajcerG            eicyrkoP          eiwałsowarP               amriF
    einezdreiwT         anzcimutiB          ynwohcuD             einezcratsoD
       tąkjórT             apaP              weikreC                agułsbO
   akytametaM              moD            awosaM arutluK           einezdeJ
antąkotsorpwicezrP        ahcalB             akyzuM                  sonyW

   SAROGATIP           AKWÓHCAD                 POP               GNIRETAC


     IMPREZA             KOTARA         STRONA INTERNETOWA           CEP

     Balanga              Roleta             Komputer          Narzędzie Rolnicze
     Zabawa               Stora                Www                  Proste
    Akademik             Firanka              Witryna               Młócić
    Dyskoteka            Zasłona             Dokument                 Kij
     Alkohol             Parawan               Http                Dzierżak


       potpaL             tropsnarT           zrakdęW              retsewlyS
    akinortkelE       einawywohcezrP            abyR               ketązcoP
       amriF           einezceipzebaZ         adorgaN             ikrewrejaF
    tnecudorP              tnezerP            ikwabaZ                ceinoK
     retupmoK               notraK           tnecudorP            ainzcytS 1

       LLED           EINAWOKAPO          ECIRP-REHSIF            KOR YWON


    ROZPOREK             MASON                 AŻUR                SYLABA

      Wtorek           Wolnomularz          Prześwitujący          Fonologia
      Ząbki              Członek               Koronka              Zgłoska
      Suwak                Loża                Dziurka               Język
     Rozpinać             Rytuał         Tkanina Artystyczna         Wyraz
     Spodnie             Liberał              Zdobienie             Akcent


        nyS              ajsimskeS              elbeM            kindeiwopdO
     ynizdoraN            kełyhcS             ikteprakS          einanwóroP
      kemotoP           ajeizdanzeB            zjasgniK            ćśonżeibZ
      ecizdoR             kedapU              ćawusyW             yłgelonwóR
       akróC             ćśonlaroM           ecindaworP          eineiwatseZ

     OKCEIZD          AJCNEDAKED             ADALFUZS             ALELARAP
 BILL CLINTON        FLUORESCENCYJNY               BÓBR          BEZPRZEWODOWY

Stany Zjednocznone        Mikroskop                 Płakać            Nadajnik
      Hillary           Luminescencja              Zwierzę             Kabel
    Prezydent              W Nocy                   Tama              Internet
     Rozporek             Świecący                  Rzeka             Mobilny
 Monica Lewinsky            Fosfor                   Zęby             Telefon


    einadainŚ            ćśonjadezrpS          anneimaroicśezS         azsuS
       ćśeJ                 akytiloP               mziaduJ              nolP
    einśezcW               ezdąineiP                izdyŻ              ynzyŻ
